url,Product_Name,Categories
https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K,Project Hail Mary,Science Fiction & Fantasy
https://www.audible.com/pd/The-Underground-Railroad-Television-Tie-in-Audiobook/B01J6CZQGA,The Underground Railroad Television Tie in,Literature & Fiction
https://www.audible.com/pd/Finding-Tamika-Audiobook/B09R52P8PW,Finding Tamika,Biographies & Memoirs
https://www.audible.com/pd/Hidden-Figures-Audiobook/B01I28NTJU,Hidden Figures,Biographies & Memoirs
https://www.audible.com/pd/The-Handmaids-Tale-Special-Edition-Audiobook/B06XFW9YZ5,The Handmaids Tale Special Edition,Literature & Fiction
https://www.audible.com/pd/Maejor-Frequency-Podcast/B09N9YV7C9,Maejor Frequency,No categories info
https://www.audible.com/pd/Mrs-Wickham-Audiobook/B0BCX16G9N,Mrs Wickham,Literature & Fiction
https://www.audible.com/pd/The-Kite-Runner-Audiobook/B002V8H0S4,The Kite Runner,Literature & Fiction
https://www.audible.com/pd/Circe-Audiobook/B0794BXZBF,Circe,Literature & Fiction
https://www.audible.com/pd/Steve-Jobs-Audiobook/B005V0QI82,Steve Jobs,Biographies & Memoirs
https://www.audible.com/pd/I-Am-Malala-Audiobook/B00F9F8K8K,I Am Malala,Biographies & Memoirs
https://www.audible.com/pd/The-Sandman-Audiobook/B086WP794Z,The Sandman,Science Fiction & Fantasy
https://www.audible.com/pd/Invisible-Man-Audiobook/B004GAN8H2,Invisible Man,Literature & Fiction
https://www.audible.com/pd/Piranesi-Audiobook/1526622416,Piranesi,Literature & Fiction
https://www.audible.com/pd/To-Kill-a-Mockingbird-Audiobook/B00K1HQVOQ,To Kill a Mockingbird,Literature & Fiction
https://www.audible.com/pd/Gone-Girl-Audiobook/B0085XRNWM,Gone Girl,"Mystery, Thriller & Suspense"
https://www.audible.com/pd/The-Hate-U-Give-Audiobook/B01NAGD7TV,The Hate U Give,Teen & Young Adult
https://www.audible.com/pd/The-Poet-X-Audiobook/B077MNNH97,The Poet X,Teen & Young Adult
https://www.audible.com/pd/Just-Kids-Audiobook/B005CQU1KG,Just Kids,Biographies & Memoirs
https://www.audible.com/pd/The-Nightingale-Audiobook/B00NYBQKFQ,The Nightingale,Literature & Fiction
https://www.audible.com/pd/All-My-Rage-Audiobook/0593502221,All My Rage,Teen & Young Adult
https://www.audible.com/pd/The-Sesame-Street-Podcast-with-Foley-and-Friends-Podcast/B08L4ZN4KM,The Sesame Street Podcast with Foley and Friends,No categories info
https://www.audible.com/pd/The-Seven-Husbands-of-Evelyn-Hugo-Audiobook/B072359S7K,The Seven Husbands of Evelyn Hugo,LGBTQ+
https://www.audible.com/pd/The-Mystwick-School-of-Musicraft-Audiobook/B07MT4MTGP,The Mystwick School of Musicraft,Children's Audiobooks
https://www.audible.com/pd/Call-Me-Maybe-Audiobook/B08CMB2WMV,Call Me Maybe,Romance
https://www.audible.com/pd/Pride-and-Prejudice-Audiobook/B016LN23CC,Pride and Prejudice,Literature & Fiction
https://www.audible.com/pd/The-Vanishing-Half-Audiobook/0525637141,The Vanishing Half,Literature & Fiction
https://www.audible.com/pd/Firekeepers-Daughter-Audiobook/1250779510,Firekeepers Daughter,Teen & Young Adult
https://www.audible.com/pd/Sankofa-Audiobook/B09DZ4XP8B,Sankofa,Literature & Fiction
https://www.audible.com/pd/The-Final-Revival-of-Opal-Nev-Audiobook/1797118501,The Final Revival of Opal Nev,Literature & Fiction
https://www.audible.com/pd/Illuminae-Audiobook/B0149LZCLC,Illuminae,Teen & Young Adult
https://www.audible.com/pd/Cemetery-Boys-Audiobook/1250619122,Cemetery Boys,Teen & Young Adult
