text,valence,arousal
We have stayed here often and it is ideal Location great for walking to and from kings Cross or getting the tube from Russell Square Plenty of places to eat nearby,0.4791727626465739,-0.09571447209773844
"Its in a very convenient location, my mom whos in her early 60s and I first time in London and we loved this hotel, staff are super friendly and helpfulWe had to wait the elevator for sometimes but it didnt take long so not a big issue",0.20622163222324513,0.2318008519743228
The staff were friendlyThe very small bathroom,0.1809705825125347,-0.2240941160947595
"Good location, was a 10 minute walk from the theatre 
Clean, functional  certainly adequate for one night
Staff were very helpful and friendly, we were made to feel like nothing was too much troubleNA",0.4106731134056313,0.05039239662997161
You hear a lot of noise from the other room doors and rooms,0.19677494398084622,-0.15044350028715173
"Great location, 2 underground stations in a walking distance 7 minutes direct connections to all most popular London atractions
Great pricevalue relationship
Room was cleaned every dayLack of storage space in the room family room is relatively small and because there is no cabinet or even drawer it was difficult to keep it tidy",0.08746310411920608,-0.23289642832166044
the location was excellent right by lots of restaurants and relatively close to the city centerit was completely filthy trash everywhere and the bathrooms were not well kept,0.035361856320731605,-0.19214962945327177
"The location, centrally located
Very clean rooms and facilitiesBed was uncomfortable, room was uncharacteristically warm for November and heating wasnt on, not a lot of breakfast options Street noise",-0.15398875774050202,-0.18038462896132326
Thanks Menino for your efficient help,0.6348590893668337,-0.00022534784253705042
The location was perfect for us as we had an early eurostar train to catch so an easy short walk to the stationIt was all good for a short break,0.504433519955794,-0.13011106936510958
"Comfortable bed, like sleeping on a cloud Very clean Location was fantastic Im not one to complain, but at checkin, I really struggled to understand the desk clerk because of the heavy accent The same was true for the breakfast staff the next morningvery, very difficult to understand 
 I ordered a mediumrare steak for my dinner, but it was quite tough For 26, I would expect a highend hotel to serve a nice steak It may have been a oneoff, but that was my experience",-0.036522083361297086,0.04755472971420202
Bed was super comfortable and the bathroom was lovelyLighting was confusing,-0.010880251922765448,-0.058429953779291256
Exactly what it looks like in photosClub noise heard nearer the lower floors Defintely ask for a room nearer the top of the building,0.031113709463148273,0.08879794271035828
"Convenience for St Pancras  early EurostarTiny tiny rooms, but did the job",-0.08989383499098721,0.07812462506121008
The property was wellmaintained and very clean the room was as described and well appointed We had daily housekeeping and dining room and bar were comfortable and relaxingOur room wouldnt cool when we first arrived but that was quickly corrected by staff Other than that I have nothing bad to say about the hotel,-0.07105094694896646,0.16643686621795692
"LocationFood, Bed, Staff",0.12484532894169417,-0.13090519141916526
We have been several times and its comfortable,0.26582602837632446,-0.2048498065714748
"Comfy, friendly staffA lift is needed for upstairs room and to add bfast even if grab to go",0.36862580734711653,0.11682598806287933
"I have never stayed in a terrible place before there is always a first time No parking place in front of hotel, lousy welcome, dirty receltion area, lift filthy, bad smell on 4th floor like entering the stinky kitchen of a chinese restaurant the bed was uncomfortable, bathroom semi clean, they clean the room every second day Gosh this is a disasterous place I cant believe I caused this on myself and my familyJust about everything",-0.0023471921772439943,0.06631795383073404
"Very good hotel, spacious room with a great view Look forward to staying here again in future",0.43053221566816174,0.07363225545332658
Everything was perfect cant fault anything and the staff were amazing and very helpful Would 100 stay againNothing,0.144624270759883,0.1965723292437665
The front desk staff were very nice and great with the kids The kids got little activity packs on arrival and got to choose out of a little surprise box which they loved Very clean and large rooms,0.65736903833126,-0.06046794059108135
"Great location, excellent attentive staff and great customer careNothing it was perfect",0.6367878175551535,0.08359124199760917
"Great location
Great breakfast selection
Friendly staff
Quiet roomRoom was a bit tired
Old fashioned hairdryer in the bathroom",0.2648641037722066,-0.36986887382820305
NATge extra bed for kids was unfortunately not in good shape Like sleeping on the rocky mountains,0.034676963970864165,0.0675393806491708
location staffwet towels,0.32606394304970726,-0.09220783701528242
"Clean  modern, nice helpful staff, easy check in  out, close to tourist attractions, despite being right in the middle off london  in the middle off the hotel never heard a soundBit of a maze finding the room",0.5000769678025847,-0.19455566872915386
" The room was very small, no space for luggage
 bed was awfully worn out
 rooms where very smelly, like worn shirts or something
 neighbours could be overheard, like they would be in the same room
 completely overpriced",-0.10580244831901105,-0.04363104531037182
Excellent location,0.4083834353262521,-0.12124779100504252
"This is a fab hotel, its my 3rd visit this year  Great location, friendly and polite staff who are very helpful  Rooms clean, breakfast plentifulNothing, everything was just great",0.4699766297243658,0.18596062042497838
Excellent service,0.39885584386897666,0.15886661871338612
"Breakfast was lovely, room was good and a nice showerIt was a little bit noisy but to be expected in city location",0.5227261106292491,-0.023153874245888363
Great value for money with comfortable rooms and friendly   accommodating staff The continental breakfast on offer was also good value at 10 The location is also very convenient being close to Victoria StationNo lift but I wouldnt expect one in a building of this age  location The staff did offer to assist with luggage,0.1730055104474453,-0.019968675505437693
"it is in a quiet location, about 10 minutes walk from the tube lovely to walk through Hyde Park tooour bathroom mirror had a heated area which didnt mist up I told the staff it has been hung upside downunless you are 8feet tall",-0.1582927075630917,0.14096935257130438
"The wait for breakfast table can sometimes be very long, some food items and cups run out and the staff manning the breakfast room is on the rude side",-0.31557426685217943,0.27484753218975605
it was comfortable and clean but wish there was a iron in every room instead of the stationwe were in the basement floor the people above us were very annoying,-0.1639711017689277,0.21197348132482852
"Location, cleanliness, staff, breakfast, everythingNothing",-0.02102142888249478,-0.0002384468686851618
convenient to underground Hyde Park just around the corner pleasant staynothing really would of been nice bot yo veen in basement but it was clean tidy ,0.17821091974157224,0.07798467725850376
"Clean, comfortable and convenient to get into London to see the sights
Even though on a high street the room was quite, but that also meant there was a good choice of places to eatBreakfast Yes there was a good selection of hot and cold choices which was absolutely fine The servery area was too small and crowded for the   amount of people trying to serve themselves Had to queue on both mornings and to be honest it was a bit stressful and at times dangerous",0.18736302000895683,0.0522694686357747
